Nation,Region,Recognition,Address,Website
Ione Band of Miwok Indians,Pacific,Federal,"PO Box 699, Plymouth, CA95669-0699",http://www.ionemiwok.org
Iowa Tribe of Kansas & Nebraska,Southern Plains,Federal,"3345 Thrasher Road, White Cloud, KS66094-4028",http://iowatribeofkansasnebraska.com/
Iowa Tribe of Oklahoma,Southern Plains,Federal,"335588 E 750 Road, Perkins, OK74059-3268",http://www.iowanation.org
Iqurmiut Traditonal Council,Alaska,Federal,"PO Box 09, Russian Mission, AK99657-0009",
Ivanoff Bay Village,Alaska,Federal,"7926 Old Seward Highway, Suite B-5, Anchorage, AK99518-3263",http://ivanofbaytribe.org
Jackson Rancheria,Pacific,Federal,"PO Box 1090, Jackson, CA95642-1090",
Jamestown S'Klallam Tribe,Northwest,Federal,"1033 Old Blyn Highway, Sequim, WA98382-7670",http://www.jamestowntribe.org
Jamul Indian Village,Pacific,Federal,"PO Box 612, Jamul, CA91935-0612",http://www.jamulindianvillage.com
Jena Band of Choctaw Indians,Southeast,Federal,"PO Box 14, Jena, LA71342-0014",
Jicarilla Apache Nation,Southwest,Federal,"PO Box 507, Dulce, NM87528-0507",
Juaneno Band of Mission Indians,Pacific,State,"31411 La Matanza St Ste A, San Juan Capistrano, CA92675-2674",http://www.juaneno.com
Kaguyak Village,Alaska,Federal,"PO Box 5078, Akhiok, AK99615",
Kaibab Band of Paiute Indians,Western,Federal,"HC 65 Box 2, Fredonia, AZ86022-9600",http://www.kaibabpaiute-nsn.gov
Kaktovik Village aka Barter Island,Alaska,Federal,"PO Box 52, Kaktovik, AK99747",
Kalispel Tribe,Northwest,Federal,"PO Box 39, Usk, WA99180-0039",http://www.kalispeltribe.com
Kaltag Tribal Council,Alaska,Federal,"PO Box 129, Kaltag, AK99748-0129",
Karuk Tribe of California,Pacific,Federal,"PO Box 1016, Happy Camp, CA96039-1016",http://www.karuk.us
Kaw Nation,Southern Plains,Federal,"PO Box 50, Kaw City, OK74641-0050",www/kawnation.com
Kenaitze Indian Tribe (IRA),Alaska,Federal,"PO Box 988, Kenai, AK99611-0988",http://www.kenaitze.org
Ketchikan Indian Community,Alaska,Federal,"2960 Tongass Ave, Ketchikan, AK99901-5742",http://www.kictribe.org
Keweenaw Bay Indian Community of Michigan,Midwest,Federal,"107 Bear Town Road, Baraga, MI49908-9210",http://www.kbic-nsn.gov
Kialegee Tribal Town,Eastern Oklahoma,Federal,"PO Box 332, Wetumka, OK74883-0332",http://kialegeetribal.webstarts.com
Kickapoo Traditional Tribe of Texas,Southern Plains,Federal,"Kickapoo Traditional Tribe of Texas, 2212 Rosita Valley Rd, Eagle Pass, TX78852-9752",http://www.texasindians.com
Kickapoo Tribe in Kansas,Southern Plains,Federal,"824 11th Dr, Horton, KS66439-9537",http://www.ktik-nsn.gov
Kickapoo Tribe of Oklahoma,Southern Plains,Federal,"PO Box 70, McLoud, OK74851-0070",http://www.kickapootribeofoklahoma.com
King Island Native Community (IRA),Alaska,Federal,"PO Box 682, Nome, AK99762-0992",
King Salmon Tribe,Alaska,Federal,"PO Box 68, King Salmon, AK99613-0068",
Kiowa Tribe of Oklahoma,Southern Plains,Federal,"PO Box 369, Carnegie, OK73015-0369",http://www.kiowatribe.org
Klamath Tribes,Northwest,Federal,"PO Box 436, Chiloquin, OR97624-0436",http://www.klamathtribes.org
Klawock Cooperative Association,Alaska,Federal,"PO Box 430, Klawock, AK99925-0430",http://www.klawock.org/
Knik Tribe,Alaska,Federal,"PO Box 871565, Wasilla, AK99687-1565",https://kniktribe.org/
Kokhanok Village,Alaska,Federal,"2 Bay Shore Dr, Kokhanok, AK99606-1007",
Kootenai Tribe of Idaho,Northwest,Federal,"PO Box 1269, Bonners Ferry, ID83805-1269",http://www.kootenai.org
Koyukuk Native Village,Alaska,Federal,"PO Box 109, Koyukuk, AK99754",
La Jolla Band of Luiseno Indians,Pacific,Federal,"22003 Highway 76, Pauma Valley, CA92061-9721",http://www.lajollaindians.com
La Posta Band of Mission Indians,Pacific,Federal,"8 Crestwood Rd, Boulevard, CA91905-0220",http://www.lptribe.net
